"ID","Address","DateOfSale","SalePrice","IsAStudio","BedCount","BathCount","Size","LotSize","BuiltInYear","M1","M2"
15063471,"55 Vandewater St APT 9, San Francisco, CA","12/4/15",710000.0,0.0,1.0,"",550.0,"",1980.0,1.0996575877884005,0.0976270078546495
15063505,"740 Francisco St, San Francisco, CA","11/30/15",2150000.0,0.0,"",2.0,1430.0,2435.0,1948.0,3.687657137700702,0.43037873274483895
15063609,"819 Francisco St, San Francisco, CA","11/12/15",5600000.0,0.0,2.0,3.5,2040.0,3920.0,1976.0,8.975474906001205,0.20552675214328775
15064044,"199 Chestnut St APT 5, San Francisco, CA","12/11/15",1500000.0,0.0,1.0,1.0,1060.0,"",1930.0,2.3173247744953454,0.08976636599379373
15064257,"111 Chestnut St APT 403, San Francisco, CA","1/15/16",970000.0,0.0,2.0,2.0,1299.0,"",1993.0,1.3809451553587377,-0.15269040132219058
15064295,"111 Chestnut St APT 702, San Francisco, CA","12/17/15",940000.0,0.0,2.0,2.0,1033.0,"",1993.0,1.5471404662826567,0.29178822613331223
15064391,"1821 Grant Ave APT 101, San Francisco, CA","12/15/15",835000.0,0.0,1.0,1.0,1048.0,"",1975.0,1.200385321404348,-0.12482557747461498
15064536,"2300 Leavenworth St, San Francisco, CA","12/4/15",2830000.0,0.0,3.0,2.0,2115.0,1271.0,1913.0,5.353717592213286,0.7835460015641595
15064640,"1047-1049 Lombard St, San Francisco, CA","1/14/16",4050000.0,1.0,"","",4102.0,3049.0,1948.0,7.952834180029169,0.9273255210020586
15064669,"1055 Lombard St # C, San Francisco, CA","12/31/15",2190000.0,0.0,2.0,3.0,1182.0,"",1986.0,3.0297369262284533,-0.2331169623484446
15065032,"101 Lombard St APT 116E, San Francisco, CA","12/7/15",800000.0,0.0,1.0,1.0,1000.0,"",1983.0,1.4333800304661317,0.5834500761653292
15065140,"1407 Montgomery St APT 2, San Francisco, CA","1/28/16",976000.0,0.0,1.0,1.0,1000.0,"",1870.0,1.4922014416788347,0.05778983950580896
15065727,"1360 Montgomery St APT 1, San Francisco, CA","11/16/15",720000.0,0.0,1.0,1.0,552.0,"",1937.0,1.128992083987631,0.13608912218786462
15065810,"1327-1329 Kearny St, San Francisco, CA","11/25/15",2250000.0,0.0,"",4.0,2658.0,1600.0,1906.0,4.332592436158487,0.8511932765853221
